country,hpi,year
Vanuatu,68.21,2006
Colombia,67.24,2006
Costa Rica,66,2006
Dominica,64.55,2006
Panama,63.54,2006
Cuba,61.86,2006
Honduras,61.75,2006
Guatemala,61.69,2006
El Salvador,61.66,2006
Saint Vincent and the Grenadines,61.37,2006
Saint Lucia,61.31,2006
Vietnam,61.23,2006
Bhutan,61.08,2006
Samoa,60.98,2006
Sri Lanka,60.31,2006
Antigua and Barbuda,59.23,2006
Philippines,59.17,2006
Nicaragua,59.09,2006
Kyrgyzstan,59.05,2006
Solomon Islands,58.93,2006
Tunisia,58.92,2006
Indonesia,57.9,2006
Tonga,57.9,2006
Tajikistan,57.66,2006
Venezuela,57.55,2006
Dominican Republic,57.14,2006
Guyana,56.65,2006
Saint Kitts and Nevis,56.14,2006
Seychelles,56.07,2006
China,55.99,2006
Thailand,55.39,2006
Peru,55.14,2006
Suriname,55.03,2006
Yemen,55,2006
Fiji,54.47,2006
Morocco,54.43,2006
Mexico,54.39,2006
Maldives,53.52,2006
Malta,53.26,2006
Bangladesh,53.2,2006
Comoros,52.92,2006
Barbados,52.73,2006
Malaysia,52.69,2006
Palestine,52.64,2006
Cape Verde,52.41,2006
Chile,52.2,2006
East Timor,52.04,2006
Argentina,51.96,2006
Trinidad and Tobago,51.87,2006
Belize,51.32,2006
Paraguay,51.13,2006
Jamaica,51.01,2006
Nepal,49.95,2006
Mauritius,49.65,2006
Mongolia,49.59,2006
Uruguay,49.31,2006
Ecuador,49.29,2006
Uzbekistan,49.22,2006
Grenada,48.96,2006
Austria,48.77,2006
The Gambia,48.67,2006
Brazil,48.59,2006
Iceland,48.35,2006
Switzerland,48.3,2006
Italy,48.26,2006
Iran,47.23,2006
Ghana,46.98,2006
Bolivia,46.17,2006
Netherlands,46,2006
Madagascar,45.99,2006
Cyprus,45.99,2006
Algeria,45.89,2006
Luxembourg,45.62,2006
The Bahamas,44.9,2006
Papua New Guinea,44.75,2006
Burma,44.55,2006
Belgium,44.04,2006
Slovenia,44.03,2006
Oman,43.94,2006
Germany,43.83,2006
Croatia,43.71,2006
Lebanon,43.64,2006
Taiwan,43.41,2006
Haiti,43.34,2006
Syria,43.23,2006
Spain,43.04,2006
Hong Kong,42.88,2006
Saudi Arabia,42.65,2006
India,42.46,2006
Cambodia,42.15,2006
Albania,42.13,2006
Jordan,42.05,2006
New Zealand,41.92,2006
Japan,41.7,2006
Republic of the Congo,41.59,2006
Egypt,41.58,2006
Turkey,41.4,2006
Denmark,41.4,2006
Brunei,41.16,2006
Georgia,41.15,2006
South Korea,41.11,2006
Bosnia and Herzegovina,40.96,2006
Senegal,40.81,2006
Azerbaijan,40.69,2006
Gabon,40.52,2006
Libya,40.33,2006
United Kingdom,40.29,2006
Laos,40.26,2006
Benin,40.1,2006
Canada,39.76,2006
Pakistan,39.4,2006
Ireland,39.38,2006
Poland,39.29,2006
Norway,39.18,2006
Republic of Macedonia,39.14,2006
Israel,39.07,2006
Namibia,38.41,2006
Sweden,38.17,2006
Romania,37.72,2006
Hungary,37.64,2006
Guinea,37.42,2006
Finland,37.36,2006
Mauritania,37.3,2006
Kazakhstan,36.92,2006
Togo,36.86,2006
Kenya,36.7,2006
Czech Republic,36.5,2006
France,36.42,2006
Armenia,36.15,2006
Singapore,36.14,2006
Slovakia,35.81,2006
Greece,35.71,2006
Tanzania,35.08,2006
Guinea-Bissau,35.08,2006
Portugal,34.83,2006
Eritrea,34.49,2006
Bahrain,34.35,2006
Australia,34.06,2006
Mali,33.68,2006
Mozambique,33.01,2006
Cameroon,32.76,2006
Djibouti,32.72,2006
Ethiopia,32.53,2006
Bulgaria,31.59,2006
Nigeria,31.14,2006
Moldova,31.12,2006
Burkina Faso,30.08,2006
Lithuania,29.29,2006
United States,28.83,2006
Rwanda,28.35,2006
Sierra Leone,28.24,2006
United Arab Emirates,28.2,2006
Angola,27.88,2006
South Africa,27.8,2006
Sudan,27.74,2006
Uganda,27.68,2006
Kuwait,27.67,2006
Latvia,27.27,2006
Niger,26.8,2006
Malawi,26.66,2006
Zambia,25.91,2006
Central African Republic,25.9,2006
Belarus,25.78,2006
Qatar,25.5,2006
Botswana,25.42,2006
Chad,25.37,2006
Turkmenistan,23.96,2006
Equatorial Guinea,23.77,2006
Lesotho,23.05,2006
Russia,22.76,2006
Estonia,22.68,2006
Ukraine,22.21,2006
Democratic Republic of the Congo,20.69,2006
Burundi,19.02,2006
Swaziland,18.38,2006
Zimbabwe,16.64,2006
Costa Rica,76.1,2009
Dominican Republic,71.8,2009
Jamaica,70.1,2009
Guatemala,68.4,2009
Vietnam,66.5,2009
Colombia,66.1,2009
Cuba,65.7,2009
El Salvador,61.5,2009
Brazil,61,2009
Honduras,61,2009
Nicaragua,60.5,2009
Egypt,60.3,2009
Saudi Arabia,59.7,2009
Philippines,59,2009
Argentina,59,2009
Indonesia,58.9,2009
Bhutan,58.5,2009
Panama,57.4,2009
Laos,57.3,2009
China,57.1,2009
Morocco,56.8,2009
Sri Lanka,56.5,2009
Mexico,55.6,2009
Pakistan,55.6,2009
Ecuador,55.5,2009
Jordan,54.6,2009
Belize,54.5,2009
Peru,54.4,2009
Tunisia,54.3,2009
Trinidad and Tobago,54.2,2009
Bangladesh,54.1,2009
Moldova,54.1,2009
Malaysia,54,2009
Tajikistan,53.5,2009
India,53,2009
Venezuela,52.5,2009
Nepal,51.9,2009
Syria,51.3,2009
Algeria,51.2,2009
Burma,51.2,2009
Thailand,50.9,2009
Haiti,50.8,2009
Netherlands,50.6,2009
Malta,50.4,2009
Uzbekistan,50.1,2009
Chile,49.7,2009
